Boost ID,Platform,Brand,Content,Episode,Start,End,Total Budget,Total Spent,Delivered Views,CPM,Proj Views,Proj CPM,Fanatics?,Segment?,Curation/Integration?,WHG?,Standard?,Month
1,FB,WHG,WHG,BB7 14,1/7,1/12,$500,$499.78,"175,600",$2.85,,,,,,Y,,1
2,FB,WHG,WHG,BB7 15,1/7,1/12,$500,$499.96,"186,900",$2.68,,,,,,Y,,1
3,FB,WHG,WHG,BB7 16,1/7,1/12,$500,$499.78,"185,900",$2.69,,,,,,Y,,1
4,FB,WHG,WHG,CL GB 1,2/5,2/10,$500,$499.89,"127,900",$3.91,,,,,,Y,,2
5,FB,WHG,WHG,CL GB 2,2/13,2/18,$500,$499.99,"155,900",$3.21,,,,,,Y,,2
6,FB,WHG,WHG,CL GB 3,2/19,2/24,$500,$499.99,"159,900",$3.13,,,,,,Y,,2
7,FB,WHG,WHG,CL GB 4,2/19,2/24,$500,$499.99,"117,800",$4.24,,,,,,Y,,2
8,FB,WHG,WHG,CL GB 5,2/19,2/24,$500,$499.99,"135,400",$3.69,,,,,,Y,,2
9,FB,WHG,WHG,CL GB 6,2/20,2/25,$500,$499.99,"162,500",$3.08,,,,,,Y,,2
10,FB,WHG,WHG,CL GB 7,2/21,2/26,$500,$499.99,"142,600",$3.51,,,,,,Y,,2
11,TW,MLB the Show,Custom,Link,3/6,3/6,$250,$244.07,"214,954",$1.14,"166,667",$1.50,,,Y,,,3
12,TW,MLB the Show,Custom,Link,3/10,3/13,$750,$695.57,"497,577",$1.40,"500,000",$1.50,,,Y,,,3
13,FB,MLB the Show,Custom,Link,3/6,3/10,"$1,000","$1,003.01","283,149",$3.54,"285,714",$3.50,,,Y,,,3
14,TW,Lids,Player Interview,Link,3/6,3/6,$250,$243.81,"195,303",$1.25,"166,667",$1.50,,,Y,,,3
15,TW,Lids,Player Interview,Link,3/6,3/6,$250,$242.39,"226,765",$1.07,"166,667",$1.50,,,Y,,,3
16,FB,Amazon,This or That 1,Link,3/6,3/10,"$3,000","$3,011.53","931,565",$3.23,"857,143",$3.50,,,Y,,,3
17,TW,Under Armour,Challenge 1,Link,3/6,3/10,$250,$239.19,"264,426",$0.90,"166,667",$1.50,,,Y,,,3
18,TW,MLB the Show,Custom,Link,3/10,3/13,"$1,000",$990.56,"760,634",$1.30,"666,667",$1.50,,,Y,,,3
19,FB,MLB the Show,Custom,Link,3/6,3/10,"$1,000",$998.01,"220,368",$4.53,"285,714",$3.50,,,Y,,,3
20,TW,MLB the Show,Custom,Link,3/10,3/14,"$1,000",$943.23,"681,925",$1.38,"666,667",$1.50,,,Y,,,3
21,FB,MLB the Show,Custom,Link,3/10,3/14,"$1,000","$1,005.11","325,502",$3.09,"285,714",$3.50,,,Y,,,3
22,FB,Amazon,This or That 2,Link,3/10,3/12,"$1,768","$1,768.00","547,255",$3.23,"505,143",$3.50,,,Y,,,3
23,IG,Amazon,This or That 2,Link,3/12,3/14,"$1,200","$1,047.22","475,300",$2.20,,,,,Y,,,3
24,FB,Amazon,This or That 3,Link,3/12,3/15,"$2,500","$2,511.31","748,400",$3.36,"714,286",$3.50,,,Y,,,3
25,IG,Amazon,This or That 3,Link,3/12,3/15,"$1,000","$1,006","442,760",$2.27,"333,333",$3.00,,,Y,,,3
26,FB,Amazon,This or That 4,FBR,3/16,3/20,"$1,000",$999.46,"273,705",$3.65,"285,714",$3.50,,,Y,,,3
27,IG,Amazon,This or That 4,IGR,3/16,3/20,"$1,000",$999.79,"163,229",$6.13,"333,333",$3,,,Y,,,3
28,FB,Amazon,This or That 5,FBR,3/16,3/20,"$2,000","$1,825.86","401,984",$4.54,"571,429",$3.50,,,Y,,,3
29,IG,Amazon,This or That 5,IGR,3/18,3/20,$0,,,,0,$3,,,Y,,,3
